tea_name,name
TEA_C4_42,ESCO.0216.00914
TEA_C4_43,ESCO.0216.00879
TEA_C4_44,ESCO.0216.00874
TEA_C4_48,ESCO.0216.01150
TEA_C4_52,ESCO.0216.00945
TEA_C4_53,ESCO.0216.01044
TEA_C4_56,ESCO.0216.00602
TEA_C4_65,ESCO.0216.00700
TEA_C4_85,ESCO.0216.01366
TEA_C4_86,ESCO.0216.01381
TEA_C4_89,ESCO.0216.01290
TEA_C4_8,ESCO.0216.01275
TEA_C4_93,ESCO.0216.01373
TEA_C4_94,ESCO.0216.01364
TEA_C4_95,ESCO.0216.01324
TEA_C4_97,ESCO.0216.00437
TEA_CD_1_IM3,ESCO.0216.00100
TEA_CD_27_IM1,ESCO.0216.00275
TEA_CD_29_IM6,ESCO.0216.00380
TEA_CD_34_LN,ESCO.0216.00093
TEA_CD_52_IM4,ESCO.0216.00262
TEA_CD_57_LN,ESCO.0216.00097
TEA_CD_59_LN3,ESCO.0216.01047
TEA_CD_59_LN,ESCO.0216.00419
TEA_CD_62_LN,ESCO.0216.00277
TEA_DMG_1993,ESCO.0216.01055
TEA_DMG_1998,ESCO.0216.01102
TEA_DMG_2012,ESCO.0216.00521
TEA_DMG_2015_G1,ESCO.0216.00810
TEA_DMG_2015_G2,ESCO.0216.01050
TEA_DMG_2015_G3,ESCO.0216.00819
TEA_E1215,ESCO.0216.00301
TEA_E1358,ESCO.0216.00500
TEA_E1426,ESCO.0216.01309
TEA_E1428,ESCO.0216.00781
TEA_E1460,ESCO.0216.00249
TEA_E2003,ESCO.0216.00709
TEA_E2004,ESCO.0216.00947
TEA_E2009,ESCO.0216.00501
TEA_E2013,ESCO.0216.00629
TEA_E2014,ESCO.0216.00412
TEA_E2016,ESCO.0216.00475
TEA_E2018,ESCO.0216.00672
TEA_E2025,ESCO.0216.00367
TEA_E2026,ESCO.0216.00534
TEA_E2029,ESCO.0216.00237
TEA_E2032,ESCO.0216.00213
TEA_E2035,ESCO.0216.00280
TEA_E2038,ESCO.0216.00370
TEA_E2039,ESCO.0216.00236
TEA_E2042,ESCO.0216.00694
TEA_E2047,ESCO.0216.00511
TEA_E2048,ESCO.0216.00509
TEA_E2051,ESCO.0216.00279
TEA_E2059,ESCO.0216.00623
TEA_E2061,ESCO.0216.00954
TEA_E2062,ESCO.0216.00587
TEA_E2065,ESCO.0216.00498
TEA_E2074,ESCO.0216.00467
TEA_E2075,ESCO.0216.00607
TEA_E2079,ESCO.0216.00396
TEA_E2085,ESCO.0216.00285
TEA_E2095,ESCO.0216.00977
TEA_E2408,ESCO.0216.00873
TEA_E2427,ESCO.0216.00938
TEA_E2469,ESCO.0216.01036
TEA_E2476,ESCO.0216.00373
TEA_E2482,ESCO.0216.00724
TEA_E2506,ESCO.0216.01237
TEA_E2508,ESCO.0216.00071
TEA_E2516,ESCO.0216.01372
