Revised_Source_Niche name
Livestock AusGEM_00327
Livestock AusGEM_00074
Livestock SRR14160876
Livestock AusGEM_01031
Livestock AusGEM_00032
Livestock AusGEM_00065
Livestock AusGEM_00238
Livestock SRR14160809
Livestock AusGEM_00307
Livestock AusGEM_00305
Livestock SRR12398590
Livestock AusGEM_00194
Livestock AusGEM_00090
Livestock SRR12398585
Livestock AusGEM_00030
Livestock TEA_B1808
Livestock AusGEM_00853
Livestock AusGEM_00925
Livestock AusGEM_00924
Livestock SRR7790718
Livestock SRR14160829
Livestock AusGEM_00098
Livestock TEA_B1820
Livestock AusGEM_00036
Livestock SRR14160872
Livestock AusGEM_00113
Livestock SRR7469866
Livestock AusGEM_01017
Livestock AusGEM_00957
Livestock AusGEM_00068
Livestock AusGEM_00005
Livestock AusGEM_00170
Livestock TEA_B1933
Livestock AusGEM_01001
Livestock SRR14160906
Livestock SRR4241845
Livestock AusGEM_00865
Livestock SRR7790735
"Wild Animal" SRR7724623
"Wild Animal" AusGEM_01523
"Wild Animal" TEA_B1956
"Wild Animal" AusGEM_01745
"Wild Animal" AusGEM_01857
"Wild Animal" AusGEM_01772
"Wild Animal" SRR11341601
"Wild Animal" AusGEM_01493
"Wild Animal" AusGEM_01590
"Wild Animal" AusGEM_01580
"Wild Animal" SRR4241861
"Wild Animal" AusGEM_01853
"Wild Animal" AusGEM_01611
"Wild Animal" TEA_B1568
"Wild Animal" AusGEM_01720
"Wild Animal" AusGEM_01490
"Wild Animal" AusGEM_01819
"Wild Animal" AusGEM_01726
"Wild Animal" TEA_B1341
"Wild Animal" AusGEM_01850
"Wild Animal" SRR11341635
"Wild Animal" AusGEM_01824
"Wild Animal" SRR7724794
"Wild Animal" TEA_B1719
"Wild Animal" TEA_B620
"Wild Animal" TEA_B749
"Wild Animal" AusGEM_01765
"Wild Animal" AusGEM_01095
"Wild Animal" TEA_M608
"Wild Animal" AusGEM_01776
"Wild Animal" SRR11341610
"Wild Animal" AusGEM_01657
"Wild Animal" TEA_B1654
"Wild Animal" TEA_TA401
"Wild Animal" AusGEM_01485
"Wild Animal" AusGEM_01075
"Wild Animal" AusGEM_01757
"Wild Animal" AusGEM_01512
"Wild Animal" AusGEM_01088
"Wild Animal" SRR7724779
"Wild Animal" SRR7724749
"Wild Animal" SRR7724807
"Wild Animal" AusGEM_01744
"Wild Animal" AusGEM_01601
"Wild Animal" SRR11341620
"Wild Animal" SRR7724706
"Wild Animal" AusGEM_01811
"Wild Animal" AusGEM_01662
"Wild Animal" TEA_B1663
"Wild Animal" TEA_B1544
"Wild Animal" TEA_B544
"Wild Animal" AusGEM_01584
"Wild Animal" AusGEM_01707
"Wild Animal" AusGEM_01604
"Wild Animal" SRR11355596
"Wild Animal" AusGEM_01575
"Wild Animal" TEA_B1542
"Wild Animal" TEA_POSS_70
"Wild Animal" AusGEM_01710
"Wild Animal" SRR7724809
"Wild Animal" SRR11355610
"Wild Animal" AusGEM_01727
"Wild Animal" AusGEM_01748
"Wild Animal" AusGEM_01781
"Wild Animal" AusGEM_01561
"Wild Animal" AusGEM_01487
"Wild Animal" AusGEM_01589
"Wild Animal" AusGEM_01034
"Wild Animal" SRR7724840
"Wild Animal" AusGEM_01638
"Wild Animal" SRR4241853
"Wild Animal" AusGEM_01679
"Wild Animal" AusGEM_01816
"Wild Animal" SRR11341609
"Wild Animal" SRR7724839
"Wild Animal" AusGEM_01821
"Wild Animal" AusGEM_01505
"Wild Animal" AusGEM_01486
"Wild Animal" TEA_B1504
"Wild Animal" AusGEM_01716
"Wild Animal" AusGEM_01723
"Wild Animal" AusGEM_01803
"Wild Animal" SRR11612999
"Wild Animal" AusGEM_01645
"Wild Animal" TEA_TA450
"Wild Animal" AusGEM_01551
"Wild Animal" AusGEM_01089
"Wild Animal" AusGEM_01692
"Wild Animal" AusGEM_01773
"Wild Animal" AusGEM_01690
"Wild Animal" TEA_TA257
"Wild Animal" SRR11355593
"Wild Animal" SRR11341652
"Wild Animal" SRR11341660
"Wild Animal" TEA_MISC_766
"Wild Animal" AusGEM_01572
"Wild Animal" SRR11341596
"Wild Animal" AusGEM_01746
"Wild Animal" SRR7724731
"Wild Animal" AusGEM_01630
"Wild Animal" AusGEM_01478
"Wild Animal" SRR7724703
"Wild Animal" AusGEM_01082
"Wild Animal" AusGEM_01642
"Wild Animal" TEA_POSS_07
"Wild Animal" TEA_B525
"Wild Animal" AusGEM_01831
"Wild Animal" AusGEM_01650
"Wild Animal" SRR11355592
"Wild Animal" AusGEM_01634
"Wild Animal" TEA_B1728
"Wild Animal" TEA_B264
"Wild Animal" SRR11341647
"Wild Animal" AusGEM_01559
"Wild Animal" TEA_POSS_76
"Wild Animal" TEA_B127
"Wild Animal" TEA_M558
"Wild Animal" AusGEM_01682
"Wild Animal" AusGEM_01789
"Wild Animal" AusGEM_01624
"Wild Animal" AusGEM_01077
"Wild Animal" AusGEM_01583
"Wild Animal" TEA_B1837
"Wild Animal" AusGEM_01533
"Wild Animal" AusGEM_01491
"Wild Animal" TEA_B531
"Wild Animal" AusGEM_01849
"Wild Animal" AusGEM_01832
"Wild Animal" SRR7724727
"Wild Animal" TEA_TA144
"Wild Animal" AusGEM_01045
"Wild Animal" TEA_TA149
"Wild Animal" AusGEM_01553
"Wild Animal" SRR7724597
"Wild Animal" AusGEM_01570
"Wild Animal" AusGEM_01861
"Wild Animal" SRR11341604
"Wild Animal" SRR7724805
"Wild Animal" AusGEM_01464
"Wild Animal" SRR11341640
"Wild Animal" AusGEM_01854
"Wild Animal" AusGEM_01066
"Wild Animal" AusGEM_01548
"Wild Animal" AusGEM_01635
"Wild Animal" TEA_B778
"Wild Animal" AusGEM_01859
"Wild Animal" SRR11341628
"Wild Animal" TEA_B1548
"Wild Animal" AusGEM_01510
"Wild Animal" AusGEM_01747
"Wild Animal" TEA_B868
"Wild Animal" TEA_TA029
"Wild Animal" AusGEM_01631
"Wild Animal" TEA_B1730
"Wild Animal" AusGEM_01565
"Wild Animal" AusGEM_01462
"Wild Animal" AusGEM_01581
"Wild Animal" TEA_B721
"Wild Animal" AusGEM_01508
"Wild Animal" AusGEM_01795
"Wild Animal" AusGEM_01489
"Wild Animal" SRR11613022
"Wild Animal" TEA_B1795
"Wild Animal" TEA_B1503
"Wild Animal" AusGEM_01050
"Wild Animal" TEA_M761
"Wild Animal" AusGEM_01779
"Wild Animal" AusGEM_01688
"Wild Animal" TEA_B1684
"Wild Animal" TEA_TA336
"Wild Animal" SRR11355594
"Wild Animal" AusGEM_01471
"Wild Animal" SRR7724768
"Wild Animal" TEA_B1549b
"Wild Animal" AusGEM_01571
"Wild Animal" TEA_TA338
"Wild Animal" TEA_M927
"Wild Animal" AusGEM_01785
"Wild Animal" SRR7724604
"Wild Animal" AusGEM_01699
"Wild Animal" AusGEM_01754
"Wild Animal" SRR11355595
"Wild Animal" SRR11341622
"Wild Animal" AusGEM_01678
"Wild Animal" AusGEM_01607
"Wild Animal" SRR7724568
"Wild Animal" AusGEM_01721
"Wild Animal" AusGEM_01749
"Wild Animal" AusGEM_01774
"Wild Animal" AusGEM_01544
"Wild Animal" AusGEM_01525
"Wild Animal" AusGEM_01100
"Wild Animal" TEA_TA139
"Wild Animal" SRR7724732
"Wild Animal" AusGEM_01700
"Wild Animal" TEA_B386
"Wild Animal" AusGEM_01061
